														
6	Itrend Palacio	Itrend-Palacio/C wing/Above Second slab	improper workmanship will lead to leakages - ply side stuck in chajjah concrete - mason did not ensure to re remove concrete at side and thapi should have been passed below ply to ensure that it is free	Supervision shall be stringent	Omkar	13-08-2025	13:33	15-08-2025	13:31	Supervision Poor 1.8.25	RCC	KRITIJA CONSTRUCTION	Sanchal Kumbhar (Kritija)	CLOSED
7	Itrend Palacio	Itrend-Palacio/C wing/Second slab	proper heads opened more than 50%	Shuttering design to be followed	Omkar	13-08-2025	12:59	15-08-2025	12:46	Workmanship Poor 1.8.25	RCC	KRITIJA CONSTRUCTION	Sanchal Kumbhar (Kritija)	CLOSED
8	Itrend Palacio	Itrend-Palacio/C wing/Above Second slab	reinforcement workmanship issue observ d at many columns - size of link required is 1140 mm whereas on site it is 1150 mm	Recommended workmanship to be followed	Omkar	13-08-2025	12:48	15-08-2025	12:45	Workmanship Poor 1.8.25	RCC	KRITIJA CONSTRUCTION	Sanchal Kumbhar (Kritija)	CLOSED
9	Itrend Palacio	Itrend-Palacio/C wing/Above Second slab	Size of link requires is 1140 mm but found 1150 mm	RCC workmanship to be followed	Omkar	13-08-2025	12:48	15-08-2025	12:43	Workmanship Poor 1.8.25	RCC	KRITIJA CONSTRUCTION	Sanchal Kumbhar (Kritija)	CLOSED
10	Itrend Palacio	Itrend-Palacio/C wing/Above second slab	not providing master rings	Master ring should be provided	Omkar	13-08-2025	12:48	15-08-2025	12:40	Workmanship Poor 1.8.25	RCC	KRITIJA CONSTRUCTION	Sanchal Kumbhar (Kritija)	CLOSED
11	Itrend Palacio	Itrend-Palacio/C wing/Second slab	improper cover - root cause - no cover provided at concrete top level	Master ring to be provided and cover shoupd be provided	Omkar	13-08-2025	12:46	15-08-2025	12:38	Workmanship Poor 1.8.25	RCC	KRITIJA CONSTRUCTION	Sanchal Kumbhar (Kritija)	CLOSED
12	Itrend Palacio	Itrend-Palacio/C wing/Above Second slab	Master ring not provided and no porper cover provided.	need to provide additional bar at link corners	Omkar	12-08-2025	16:05	14-08-2025	14:49	Workmanship Poor 1.8.25		Main Team	Pradnesh Jamkar (Saheel properties)	CLOSED
13	Itrend Palacio	Itrend-Palacio/C wing/Above Second slab	unfinished / uncompacted at SW bottom - as it is near toilet , need to chip off the loose material - as it will pose leakage issues, need to control	Need to break and clear the uncompacted concrete and ensure proper joint	Omkar	12-08-2025	16:02	14-08-2025	14:51	Workmanship Poor 1.8.25		Main Team	Pradnesh Jamkar (Saheel properties)	CLOSED
14	Itrend Palacio	Itrend-Palacio/C wing/Above Second slab	main bars misaligned	Reinforcement workmanship to be followed	Omkar	12-08-2025	16:01	14-08-2025	14:47	Workmanship Poor 1.8.25		Main Team	Pradnesh Jamkar (Saheel properties)	CLOSED
15	Itrend Palacio	Itrend-Palacio/C wing/Above Second slab	electrical boxes and conduits in SW, box will project outside the surface, conduits running in cover zone will pose issues of cracks as only slurry will reach at conduits	Need to check the gaps between pipes to ensure concrete passes, need to check the area after concreting is done	Omkar	12-08-2025	16:00	14-08-2025	14:56	Workmanship Poor 1.8.25		Main Team	Pradnesh Jamkar (Saheel properties)	CLOSED
16	Itrend Palacio	Itrend-Palacio/C wing/Second slab	shuttering design is available at office, not available at site carpentery supervisor, bracing shall be coupled with couplers only, whereas at site binding wire is used	Shuttering design to be followed	Omkar	12-08-2025	15:31	14-08-2025	15:30	Documentation poor 1.8.25		Main Team	Pradnesh Jamkar (Saheel properties)	CLOSED
17	Itrend Palacio	Itrend-Palacio/A wing/East side raft	10/07/2025 - RVK - A East raft - M30 - 28th day - 28.50 MPa	need to check further , send a mail to vendor	Omkar	12-08-2025	15:28	14-08-2025	15:27	Documentation poor 1.8.25		Main Team	Pradnesh Jamkar (Saheel properties)	CLOSED
														
														
